"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-09-01,0,0,75.02,87.98,2.908022
2014-09-02,0,0,77,91.94,5.368656
2014-09-03,0,0,71.96,86,3.35541
2014-09-04,0,0,69.08,87.08,2.684328
2014-09-05,0,0,71.96,87.08,2.908022
2014-09-06,0.11023628,0,66.92,91.04,4.697574
2014-09-07,0,0,64.94,80.96,4.697574
2014-09-08,0,0,64.94,75.02,7.605596
2014-09-09,0,0,62.96,73.04,7.82929
2014-09-10,0,0,62.96,80.06,5.816044
2014-09-11,0,0,69.08,82.94,4.697574
2014-09-12,0,0,62.06,78.08,5.144962
2014-09-13,0.25984266,0,57.92,69.08,5.144962
2014-09-14,0,0,53.06,71.06,3.131716
2014-09-15,0,0,55.04,71.06,2.908022
2014-09-16,0.37007894,0,57.92,69.98,2.23694
2014-09-17,0,0,55.04,73.04,2.684328
2014-09-18,0,0,57.02,75.92,2.684328
2014-09-19,0,0,53.96,66.02,7.605596
2014-09-20,0,0,57.02,75.02,2.908022
2014-09-21,0.14960638,0,66.92,75.02,1.565858
2014-09-22,0,0,55.04,71.06,6.71082
2014-09-23,0,0,51.98,71.06,1.789552
2014-09-24,0,0,57.92,71.06,5.59235
2014-09-25,0.31889781,0,57.02,64.04,8.276678
2014-09-26,0,0,57.92,77,4.250186
2014-09-27,0,0,60.08,82.94,2.460634
2014-09-28,0,0,64.04,84.02,1.789552
2014-09-29,0,0,66.92,78.98,0.671082
2014-09-30,0,0,62.06,71.06,4.697574
2014-10-01,0.01968505,0,60.98,64.94,6.039738
2014-10-02,0,0,60.98,69.98,4.697574
2014-10-03,0,0,55.94,71.06,4.250186
2014-10-04,1.181103,0,51.98,69.08,6.71082
2014-10-05,0,0,46.04,60.98,5.59235
2014-10-06,0,0,50,69.08,3.802798
2014-10-07,0.05905515,0,62.96,71.06,4.697574
2014-10-08,0.0393701,0,62.06,73.04,7.158208
2014-10-09,0,0,55.04,68,5.59235
2014-10-10,0,0,51.98,64.04,2.23694
2014-10-11,0.33070884,0,50,60.08,4.47388
2014-10-12,0,0,48.02,62.96,2.684328
2014-10-13,0.05118113,0,51.98,64.94,2.684328
2014-10-14,0,0,62.96,75.92,4.697574
2014-10-15,0.68897675,0,69.08,77,5.144962
2014-10-16,1.11023682,0,60.98,71.06,4.026492
2014-10-17,0,0,59,71.06,4.47388
2014-10-18,0,0,55.94,69.98,6.263432
2014-10-19,0,0,44.06,55.94,7.605596
2014-10-20,0,0,42.08,60.08,3.802798
2014-10-21,0.11023628,0,55.04,66.92,3.579104
2014-10-22,1.51181184,0,50,57.92,9.395148
2014-10-23,0.61023655,0,50,53.06,7.605596
2014-10-24,0,0,51.08,62.96,4.47388
2014-10-25,0.01181103,0,50,66.92,5.816044
2014-10-26,0,0,53.06,62.96,7.82929
2014-10-27,0,0,48.02,62.96,5.144962
2014-10-28,0,0,53.06,71.96,2.908022
2014-10-29,0,0,51.08,71.96,4.921268
2014-10-30,0,0,46.94,59,3.579104
2014-10-31,0.05118113,0,44.96,55.04,6.487126
2014-11-01,0.35039389,0,42.08,46.94,8.94776
2014-11-02,0,0,41,48.02,10.737312
2014-11-03,0,0,39.02,60.98,5.816044
2014-11-04,0,0,53.06,68,4.697574
2014-11-05,0,0,55.94,64.04,4.47388
2014-11-06,0.37007894,0,48.02,57.02,3.131716
2014-11-07,0,0,39.92,53.06,7.381902
2014-11-08,0,0,35.96,48.02,6.039738
2014-11-09,0,0,46.04,57.02,2.684328
2014-11-10,0,0,44.06,60.98,2.460634
2014-11-11,0,0,48.92,64.04,3.35541
2014-11-12,0,0,46.94,64.94,2.684328
2014-11-13,0.20078751,0,35.96,48.02,3.579104
2014-11-14,0.05905515,0,35.06,42.08,7.158208
2014-11-15,0,0,33.08,42.08,3.579104
2014-11-16,0.03149608,0,35.06,44.96,3.802798
2014-11-17,1.53937091,0,39.92,51.98,3.802798
2014-11-18,0,0,24.26,44.96,10.06623
2014-11-19,0,0,22.1,35.96,7.158208
2014-11-20,0,0,31.1,44.96,7.158208
2014-11-21,0,0,28.22,37.04,7.605596
2014-11-22,0,0,28.22,44.06,4.921268
2014-11-23,0,0,42.98,57.02,3.802798
2014-11-24,0.70078778,0,53.06,69.08,5.368656
2014-11-25,0,0,51.08,68,5.144962
2014-11-26,1.24015815,0.1968505,33.98,51.08,8.724066
2014-11-27,0.01968505,0,33.98,37.94,5.144962
2014-11-28,0,0,29.12,37.04,5.816044
2014-11-29,0,0,27.14,44.96,3.579104
2014-11-30,0,0,44.96,55.04,4.250186
2014-12-01,0.09055123,0,42.08,64.94,6.71082
2014-12-02,0.0787402,0,35.06,42.98,9.171454
2014-12-03,0.05905515,0,41,46.04,7.605596
2014-12-04,0,0,37.04,44.96,5.816044
2014-12-05,0.5118113,0,33.98,44.06,6.039738
2014-12-06,1.2204731,0,39.02,50,4.026492
2014-12-07,0.0393701,0,30.2,42.08,11.855782
2014-12-08,0,0,24.26,37.04,11.408394
2014-12-09,2.53937145,0,35.96,42.08,10.289924
2014-12-10,0.0787402,0.9842525,32,39.92,8.276678
2014-12-11,0.01181103,0,31.1,37.94,7.605596
2014-12-12,0,0,32,37.94,8.052984
2014-12-13,0,0,33.98,44.06,8.94776
2014-12-14,0,0,37.94,46.04,6.039738
2014-12-15,0,0,37.04,48.02,2.684328
2014-12-16,0.20078751,0,37.94,48.92,3.802798
2014-12-17,0.01968505,0,42.08,53.96,5.816044
2014-12-18,0,0,37.04,42.08,8.724066
2014-12-19,0,0,31.1,37.94,7.158208
2014-12-20,0,0,30.2,33.08,4.921268
2014-12-21,0,0,31.1,35.96,4.921268
2014-12-22,0.0393701,0,35.06,44.06,6.039738
2014-12-23,0.16141741,0,42.98,46.04,8.276678
2014-12-24,0.79921303,0,44.06,57.92,5.816044
2014-12-25,0.09055123,0,44.06,62.06,9.618842
2014-12-26,0,0,39.92,50,5.816044
2014-12-27,0,0,44.06,55.04,4.47388
