"date","num_accidents","num_injuries","num_deaths"
2015-05-17,543,199,1
2015-05-18,566,115,0
2015-05-19,605,138,1
2015-05-20,664,150,1
2015-05-21,615,131,1
2015-05-22,727,170,1
2015-05-23,545,137,0
2015-05-24,432,126,1
2015-05-25,420,121,3
2015-05-26,686,144,3
2015-05-27,694,159,1
2015-05-28,682,171,0
2015-05-29,812,216,0
2015-05-30,620,182,1
2015-05-31,555,176,1
2015-06-01,691,147,0
2015-06-02,642,158,1
2015-06-03,658,175,2
2015-06-04,551,134,2
2015-06-05,691,150,0
2015-06-06,598,177,0
2015-06-07,557,164,0
2015-06-08,633,163,1
2015-06-09,651,142,0
2015-06-10,666,191,0
2015-06-11,666,137,0
2015-06-12,450,115,0
2015-06-13,394,122,0
2015-06-14,576,158,2
2015-06-15,504,97,1
2015-06-16,593,145,0
2015-06-17,706,174,0
2015-06-18,615,163,1
2015-06-19,731,141,0
2015-06-20,504,160,1
2015-06-21,620,192,0
2015-06-22,772,188,1
2015-06-23,702,167,1
2015-06-24,774,154,1
2015-06-25,670,148,0
2015-06-26,773,191,0
2015-06-27,593,153,2
2015-06-28,535,155,2
2015-06-29,662,143,2
2015-06-30,620,148,0
2015-07-01,683,178,4
2015-07-02,603,131,1
2015-07-03,549,145,0
2015-07-04,389,129,1
2015-07-05,467,127,0
2015-07-06,598,133,2
2015-07-07,644,175,0
2015-07-08,620,125,1
2015-07-09,567,150,1
2015-07-10,709,188,0
2015-07-11,596,152,0
2015-07-12,521,149,1
2015-07-13,665,181,1
2015-07-14,656,139,0
2015-07-15,607,150,0
2015-07-16,685,169,0
2015-07-17,659,149,1
2015-07-18,561,139,1
2015-07-19,545,155,1
2015-07-20,727,175,0
2015-07-21,605,131,0
2015-07-22,617,149,1
2015-07-23,621,167,0
2015-07-24,490,115,1
2015-07-25,451,122,0
2015-07-26,550,191,1
2015-07-27,626,146,0
2015-07-28,642,153,1
2015-07-29,629,167,1
2015-07-30,717,159,0
2015-07-31,753,189,0
2015-08-01,668,169,1
2015-08-02,549,155,1
2015-08-03,705,181,0
2015-08-04,666,151,0
2015-08-05,618,170,3
2015-08-06,629,158,0
2015-08-07,726,185,1
2015-08-08,545,129,1
2015-08-09,489,160,1
2015-08-10,611,154,1
2015-08-11,601,153,0
2015-08-12,643,124,1
2015-08-13,714,197,0
2015-08-14,728,173,0
2015-08-15,579,133,0
2015-08-16,552,161,1
2015-08-17,592,168,1
2015-08-18,623,148,0
2015-08-19,594,128,2
2015-08-20,600,153,3
2015-08-21,753,174,0
2015-08-22,581,150,0
2015-08-23,491,145,0
2015-08-24,575,120,0
2015-08-25,594,137,1
2015-08-26,606,136,1
2015-08-27,613,154,0
2015-08-28,609,152,0
2015-08-29,539,150,2
2015-08-30,563,169,1
2015-08-31,614,162,0
2015-09-01,626,140,0
2015-09-02,652,163,0
2015-09-03,665,131,0
2015-09-04,643,150,1
2015-09-05,540,150,0
2015-09-06,503,160,1
2015-09-07,485,154,1
2015-09-08,795,178,0
2015-09-09,740,155,1
2015-09-10,715,168,0
2015-09-11,765,166,1
2015-09-12,554,132,2
2015-09-13,478,127,0
2015-09-14,577,151,2
2015-09-15,578,141,0
2015-09-16,747,163,0
2015-09-17,744,163,0
2015-09-18,760,165,1
2015-09-19,654,192,0
2015-09-20,555,153,0
2015-09-21,624,150,1
2015-09-22,571,124,0
2015-09-23,501,120,1
2015-09-24,619,176,1
2015-09-25,585,142,0
2015-09-26,557,155,0
2015-09-27,493,138,1
2015-09-28,586,129,0
2015-09-29,557,152,0
2015-09-30,634,129,0
2015-10-01,683,170,1
2015-10-02,797,174,0
2015-10-03,556,142,0
2015-10-04,535,160,1
2015-10-05,596,140,3
2015-10-06,629,142,2
2015-10-07,668,152,0
2015-10-08,666,141,1
2015-10-09,764,159,0
2015-10-10,649,172,0
2015-10-11,559,154,0
2015-10-12,505,138,1
2015-10-13,724,182,3
2015-10-14,658,172,4
2015-10-15,681,155,0
2015-10-16,676,151,0
2015-10-17,565,146,1
2015-10-18,551,148,0
2015-10-19,667,126,0
2015-10-20,712,175,1
2015-10-21,720,178,1
2015-10-22,666,170,0
2015-10-23,742,199,2
2015-10-24,519,111,1
2015-10-25,522,139,1
2015-10-26,698,158,1
2015-10-27,631,137,0
2015-10-28,688,182,0
2015-10-29,766,181,0
2015-10-30,688,162,0
2015-10-31,357,99,0
2015-11-01,312,70,3
2015-11-02,612,153,0
2015-11-03,655,169,1
2015-11-04,672,167,0
2015-11-05,689,144,2
2015-11-06,616,134,1
2015-11-07,499,121,1
2015-11-08,472,131,2
2015-11-09,615,174,4
2015-11-10,756,192,0
2015-11-11,529,129,0
2015-11-12,637,139,1
2015-11-13,677,144,0
2015-11-14,613,143,0
2015-11-15,498,133,0
2015-11-16,618,155,1
2015-11-17,684,162,0
2015-11-18,628,132,2
2015-11-19,797,200,0
2015-11-20,819,203,0
2015-11-21,597,125,1
2015-11-22,431,116,0
2015-11-23,703,151,1
2015-11-24,733,140,0
2015-11-25,717,165,2
2015-11-26,383,112,1
2015-11-27,480,145,2
2015-11-28,508,160,0
2015-11-29,453,120,0
2015-11-30,611,132,1
2015-12-01,746,192,2
2015-12-02,654,170,3
2015-12-03,623,123,1
2015-12-04,679,144,0
2015-12-05,629,176,0
2015-12-06,485,134,3
2015-12-07,667,152,1
2015-12-08,616,119,1
2015-12-09,574,114,0
2015-12-10,668,146,0
2015-12-11,694,150,1
2015-12-12,578,139,1
2015-12-13,547,142,0
2015-12-14,637,140,1
2015-12-15,751,165,1
2015-12-16,673,149,2
2015-12-17,745,179,0
2015-12-18,767,190,2
2015-12-19,624,121,0
2015-12-20,499,128,0
2015-12-21,611,138,0
2015-12-22,699,161,0
2015-12-23,805,231,1
2015-12-24,603,162,1
2015-12-25,321,121,1
2015-12-26,394,123,0
2015-12-27,518,166,0
2015-12-28,489,107,0
2015-12-29,532,129,0
2015-12-30,500,145,0
2015-12-31,527,96,0
2016-01-01,389,123,0
2016-01-02,414,118,0
2016-01-03,421,125,0
2016-01-04,587,122,1
2016-01-05,628,106,0
2016-01-06,604,122,0
2016-01-07,520,119,1
2016-01-08,600,132,2
2016-01-09,548,140,0
