date,day_of_week,is_weekend,felonies,accidents,accident_injuriesDeaths,any_precip,temp_min_degF,temp_max_degF,windspeed_avg_mph,is_holiday,school_attendance_pct,is_school_day
8/28/15,Friday,0,334,609,152,0,62.96,82.04,2.460634,0,0,0
8/29/15,Saturday,1,326,539,152,0,66.92,87.08,2.013246,0,0,0
8/30/15,Sunday,1,316,563,170,1,71.96,89.96,4.026492,0,0,0
8/31/15,Monday,0,291,614,162,0,75.92,91.04,4.47388,0,0,0
9/1/15,Tuesday,0,330,626,140,0,75.92,89.96,2.23694,0,0,0
9/2/15,Wednesday,0,284,652,163,0,73.94,91.04,1.789552,0,0,0
9/3/15,Thursday,0,331,665,131,0,73.94,93.02,2.013246,0,0,0
9/4/15,Friday,0,362,643,151,0,71.96,84.92,6.934514,0,0,0
9/5/15,Saturday,1,317,540,150,0,66.92,82.94,4.026492,0,0,0
9/6/15,Sunday,1,278,503,161,0,64.94,87.08,1.342164,0,0,0
9/7/15,Monday,0,299,485,155,0,69.98,91.94,4.250186,1,0,0
9/8/15,Tuesday,0,309,795,178,0,75.92,96.98,4.921268,0,0,0
9/9/15,Wednesday,0,292,740,156,0,75.92,89.96,3.802798,0,86.43,1
9/10/15,Thursday,0,298,715,168,1,69.98,78.98,6.263432,0,87.66,1
9/11/15,Friday,0,341,765,167,0,66.02,80.96,5.144962,0,88.62,1
9/12/15,Saturday,1,338,554,134,1,69.08,78.98,4.250186,0,0,0
9/13/15,Sunday,1,317,478,127,1,62.06,80.06,6.263432,0,0,0
9/14/15,Monday,0,294,577,153,0,59,77,6.487126,0,0,0
9/15/15,Tuesday,0,307,578,141,0,62.06,84.02,2.23694,0,0,0
9/16/15,Wednesday,0,283,747,163,0,66.02,87.98,1.342164,0,90.58,1
9/17/15,Thursday,0,298,744,163,0,68,89.06,2.23694,0,90.88,1
9/18/15,Friday,0,343,760,166,0,68,87.08,2.013246,0,90.67,1
9/19/15,Saturday,1,372,654,192,0,68,82.94,2.684328,0,0,0
9/20/15,Sunday,1,345,555,153,0,64.04,78.98,7.82929,0,0,0
9/21/15,Monday,0,326,624,151,0,59,73.04,7.605596,0,90.76,1
9/22/15,Tuesday,0,305,571,124,0,62.06,71.06,6.934514,0,90.95,1
9/23/15,Wednesday,0,310,501,121,0,59,80.06,2.908022,0,0,0
9/24/15,Thursday,0,272,619,177,0,60.08,82.04,4.250186,0,0,0
9/25/15,Friday,0,301,585,142,0,62.96,75.92,6.263432,0,87.09,1
9/26/15,Saturday,1,278,557,155,0,60.98,71.96,6.039738,0,0,0
9/27/15,Sunday,1,293,493,139,0,55.94,71.06,4.921268,0,0,0
9/28/15,Monday,0,328,586,129,0,64.94,78.08,3.35541,0,90.79,1
9/29/15,Tuesday,0,295,557,152,1,71.96,82.94,2.684328,0,91.54,1
9/30/15,Wednesday,0,282,634,129,1,59,78.98,8.276678,0,91.41,1
10/1/15,Thursday,0,369,683,171,1,55.94,64.04,8.724066,0,92,1
10/2/15,Friday,0,295,797,174,1,48.02,57.02,12.526864,0,89.65,1
10/3/15,Saturday,1,255,556,142,1,48.92,55.04,11.408394,0,0,0
10/4/15,Sunday,1,290,535,161,0,53.06,62.96,10.737312,0,0,0
10/5/15,Monday,0,310,596,143,0,51.98,66.92,6.263432,0,91.33,1
10/6/15,Tuesday,0,293,629,144,0,51.98,73.04,1.565858,0,92.05,1
10/7/15,Wednesday,0,293,668,152,0,57.92,73.04,2.908022,0,92.46,1
10/8/15,Thursday,0,288,666,142,0,59,71.96,3.35541,0,92.33,1
10/9/15,Friday,0,343,764,159,1,60.98,78.08,4.026492,0,91.29,1
10/10/15,Saturday,1,317,649,172,0,50,64.94,2.460634,0,0,0
10/11/15,Sunday,1,306,559,154,0,53.06,69.08,3.802798,0,0,0
10/12/15,Monday,0,296,505,139,0,55.94,77,3.802798,1,0,0
10/13/15,Tuesday,0,293,724,185,1,60.98,71.96,3.579104,0,91.91,1
10/14/15,Wednesday,0,299,658,176,0,57.02,69.08,3.802798,0,90.83,1
10/15/15,Thursday,0,296,681,155,0,51.08,64.04,4.026492,0,92.54,1
10/16/15,Friday,0,314,676,151,0,53.06,64.04,5.368656,0,91.65,1
10/17/15,Saturday,1,292,565,147,0,42.08,55.94,5.816044,0,0,0
10/18/15,Sunday,1,269,551,148,0,37.94,50,4.921268,0,0,0
10/19/15,Monday,0,309,667,126,0,35.06,53.06,3.802798,0,91.52,1
10/20/15,Tuesday,0,293,712,176,0,48.02,69.98,6.039738,0,92.46,1
10/21/15,Wednesday,0,308,720,179,0,57.02,75.92,2.23694,0,92.63,1
10/22/15,Thursday,0,324,666,170,0,57.92,75.02,4.697574,0,92.49,1
10/23/15,Friday,0,319,742,201,0,44.96,64.94,6.71082,0,91.57,1
10/24/15,Saturday,1,254,519,112,0,39.92,57.02,4.026492,0,0,0
10/25/15,Sunday,1,299,522,140,1,48.02,68,4.921268,0,0,0
10/26/15,Monday,0,276,698,159,0,46.04,57.92,3.802798,0,91.77,1
10/27/15,Tuesday,0,283,631,137,0,44.96,59,4.47388,0,92.44,1
10/28/15,Wednesday,0,271,688,182,1,53.06,69.08,6.71082,0,92.26,1
10/29/15,Thursday,0,291,766,181,1,57.02,73.04,6.487126,0,92.6,1
10/30/15,Friday,0,313,688,162,0,48.02,60.98,5.816044,0,90.26,1
10/31/15,Saturday,1,320,357,99,0,42.08,55.94,2.908022,0,0,0
11/1/15,Sunday,1,365,312,73,0,53.96,64.94,4.921268,0,0,0
11/2/15,Monday,0,274,612,153,0,53.96,62.96,2.013246,0,91.97,1
11/3/15,Tuesday,0,284,655,170,0,48.02,71.96,2.460634,1,0,0
11/4/15,Wednesday,0,297,672,167,0,55.94,69.98,2.460634,0,93.09,1
11/5/15,Thursday,0,303,689,146,1,55.94,71.06,2.013246,0,88.25,1
11/6/15,Friday,0,309,616,135,0,66.02,73.94,4.697574,0,91.71,1
11/7/15,Saturday,1,323,499,122,0,53.06,71.96,4.47388,0,0,0
11/8/15,Sunday,1,300,472,133,0,46.04,55.94,3.579104,0,0,0
11/9/15,Monday,0,274,615,178,0,42.98,59,2.013246,0,92.31,1
11/10/15,Tuesday,0,289,756,192,1,51.08,57.02,9.842536,0,91.82,1
11/11/15,Wednesday,0,236,529,129,1,48.92,57.92,4.921268,1,0,0
11/12/15,Thursday,0,284,637,140,1,51.08,60.98,5.59235,0,92.64,1
11/13/15,Friday,0,312,677,144,0,46.04,57.92,10.737312,0,91.62,1
11/14/15,Saturday,1,277,613,143,0,42.08,48.92,7.82929,0,0,0
11/15/15,Sunday,1,230,498,133,0,39.02,57.92,4.697574,0,0,0
11/16/15,Monday,0,314,618,156,0,51.08,66.92,4.026492,0,91.95,1
11/17/15,Tuesday,0,304,684,162,0,39.92,51.98,6.263432,0,91.33,1
11/18/15,Wednesday,0,267,628,134,0,46.04,57.92,5.144962,0,92.52,1
11/19/15,Thursday,0,277,797,200,1,57.02,64.04,5.59235,0,92.26,1
11/20/15,Friday,0,307,819,203,0,46.04,64.04,5.816044,0,88.96,1
11/21/15,Saturday,1,294,597,126,0,42.08,53.06,6.487126,0,0,0
11/22/15,Sunday,1,272,431,116,1,42.08,55.04,6.263432,0,0,0
11/23/15,Monday,0,265,703,152,0,33.08,44.06,5.816044,0,91.55,1
11/24/15,Tuesday,0,274,733,140,0,32,46.04,3.802798,0,91.38,1
11/25/15,Wednesday,0,287,717,167,0,35.96,50,2.684328,0,87.23,1
